S1_CurrentFeedback,Machining_Process,tool_condition,group,feedrate,clamp_pressure
27.5,Layer 1 Up,unworn,1,3,2.5
17.9,Layer 1 Up,unworn,1,3,2.5
22.5,Layer 1 Up,unworn,1,3,2.5
20.0,Layer 1 Up,unworn,1,3,2.5
13.3,Layer 1 Up,unworn,1,3,2.5
27.0,Layer 1 Up,unworn,1,3,2.5
22.9,Layer 1 Up,unworn,1,3,2.5
22.8,Layer 1 Up,unworn,1,3,2.5
25.0,Layer 1 Up,unworn,1,3,2.5
17.8,Layer 1 Up,unworn,1,3,2.5
20.0,Layer 1 Up,unworn,1,3,2.5
17.2,Layer 1 Up,unworn,1,3,2.5
18.0,Layer 1 Up,unworn,1,3,2.5
13.8,Layer 1 Up,unworn,1,3,2.5
22.4,Layer 1 Up,unworn,1,3,2.5
16.7,Layer 1 Up,unworn,1,3,2.5
17.1,Layer 1 Up,unworn,1,3,2.5
16.5,Layer 1 Up,unworn,1,3,2.5
16.6,Layer 1 Up,unworn,1,3,2.5
13.4,Layer 1 Up,unworn,1,3,2.5
18.5,Layer 1 Up,unworn,1,3,2.5
18.4,Layer 1 Up,unworn,1,3,2.5
22.0,Layer 1 Up,unworn,1,3,2.5
19.9,Layer 1 Up,unworn,1,3,2.5
25.9,Layer 1 Up,unworn,1,3,2.5
24.1,Layer 1 Up,unworn,1,3,2.5
22.0,Layer 1 Up,unworn,1,3,2.5
21.9,Layer 1 Up,unworn,1,3,2.5
17.6,Layer 1 Up,unworn,1,3,2.5
25.6,Layer 1 Up,unworn,1,3,2.5
17.2,Layer 1 Up,unworn,1,3,2.5
20.8,Layer 1 Up,unworn,1,3,2.5
17.4,Layer 1 Up,unworn,1,3,2.5
13.8,Layer 1 Up,unworn,1,3,2.5
25.4,Layer 1 Up,unworn,1,3,2.5
20.1,Layer 1 Up,unworn,1,3,2.5
17.7,Layer 1 Up,unworn,1,3,2.5
20.5,Layer 1 Up,unworn,1,3,2.5
13.8,Layer 1 Up,unworn,1,3,2.5
22.2,Layer 1 Up,unworn,1,3,2.5
17.0,Layer 1 Up,unworn,1,3,2.5
20.3,Layer 1 Up,unworn,1,3,2.5
21.5,Layer 1 Up,unworn,1,3,2.5
25.4,Layer 1 Up,unworn,1,3,2.5
18.0,Layer 1 Up,unworn,1,3,2.5
14.1,Layer 1 Up,unworn,1,3,2.5
20.9,Layer 1 Up,unworn,1,3,2.5
18.7,Layer 1 Up,unworn,1,3,2.5
14.4,Layer 1 Up,unworn,1,3,2.5
24.0,Layer 1 Up,unworn,1,3,2.5
15.3,Layer 1 Up,unworn,1,3,2.5
18.6,Layer 1 Up,unworn,1,3,2.5
21.6,Layer 1 Up,unworn,1,3,2.5
15.9,Layer 1 Up,unworn,1,3,2.5
23.8,Layer 1 Up,unworn,1,3,2.5
19.0,Layer 1 Up,unworn,1,3,2.5
15.2,Layer 1 Up,unworn,1,3,2.5
24.8,Layer 1 Up,unworn,1,3,2.5
17.7,Layer 1 Up,unworn,1,3,2.5
20.0,Layer 1 Up,unworn,1,3,2.5
21.1,Layer 1 Up,unworn,1,3,2.5
0.248,Layer 1 Up,unworn,1,3,2.5
0.723,Layer 1 Up,unworn,1,3,2.5
-7.46,Layer 1 Up,unworn,1,3,2.5
-0.228,Layer 1 Up,unworn,1,3,2.5
0.547,Layer 1 Up,unworn,1,3,2.5
1.02,Layer 1 Up,unworn,1,3,2.5
0.248,Layer 1 Up,unworn,1,3,2.5
0.723,Layer 1 Up,unworn,1,3,2.5
0.424,Layer 1 Up,unworn,1,3,2.5
0.248,Layer 1 Up,unworn,1,3,2.5
0.0716,Layer 1 Up,unworn,1,3,2.5
1.02,Layer 1 Up,unworn,1,3,2.5
-0.105,Layer 1 Up,unworn,1,3,2.5
0.723,Layer 1 Up,unworn,1,3,2.5
-0.0515,Layer 1 Up,unworn,1,3,2.5
0.371,Layer 1 Up,unworn,1,3,2.5
21.7,Layer 1 Up,unworn,1,3,2.5
17.3,Layer 1 Up,unworn,1,3,2.5
15.8,Layer 1 Up,unworn,1,3,2.5
26.4,Layer 1 Up,unworn,1,3,2.5
15.9,Layer 1 Up,unworn,1,3,2.5
19.5,Layer 1 Up,unworn,1,3,2.5
23.7,Layer 1 Up,unworn,1,3,2.5
16.1,Layer 1 Up,unworn,1,3,2.5
22.1,Layer 1 Up,unworn,1,3,2.5
16.6,Layer 1 Up,unworn,1,3,2.5
17.1,Layer 1 Up,unworn,1,3,2.5
27.0,Layer 1 Up,unworn,1,3,2.5
20.1,Layer 1 Up,unworn,1,3,2.5
19.2,Layer 1 Up,unworn,1,3,2.5
26.6,Layer 1 Up,unworn,1,3,2.5
15.6,Layer 1 Up,unworn,1,3,2.5
22.4,Layer 1 Up,unworn,1,3,2.5
22.9,Layer 1 Up,unworn,1,3,2.5
21.2,Layer 1 Up,unworn,1,3,2.5
19.2,Layer 1 Up,unworn,1,3,2.5
19.5,Layer 1 Up,unworn,1,3,2.5
15.1,Layer 1 Up,unworn,1,3,2.5
20.6,Layer 1 Up,unworn,1,3,2.5
22.2,Layer 1 Up,unworn,1,3,2.5
16.8,Layer 1 Up,unworn,1,3,2.5
20.0,Layer 1 Up,unworn,1,3,2.5
13.8,Layer 1 Up,unworn,1,3,2.5
19.5,Layer 1 Up,unworn,1,3,2.5
23.7,Layer 1 Up,unworn,1,3,2.5
14.9,Layer 1 Up,unworn,1,3,2.5
20.0,Layer 1 Up,unworn,1,3,2.5
15.2,Layer 1 Up,unworn,1,3,2.5
21.6,Layer 1 Up,unworn,1,3,2.5
23.2,Layer 1 Up,unworn,1,3,2.5
24.0,Layer 1 Up,unworn,1,3,2.5
17.9,Layer 1 Up,unworn,1,3,2.5
19.1,Layer 1 Up,unworn,1,3,2.5
22.6,Layer 1 Up,unworn,1,3,2.5
22.4,Layer 1 Up,unworn,1,3,2.5
25.3,Layer 1 Down,unworn,1,3,2.5
21.2,Layer 1 Down,unworn,1,3,2.5
0.368,Layer 1 Down,unworn,1,3,2.5
0.676,Layer 1 Down,unworn,1,3,2.5
0.495,Layer 1 Down,unworn,1,3,2.5
-2.64,Layer 1 Down,unworn,1,3,2.5
-0.968,Layer 1 Down,unworn,1,3,2.5
0.628,Layer 1 Down,unworn,1,3,2.5
0.821,Layer 1 Down,unworn,1,3,2.5
0.491,Layer 1 Down,unworn,1,3,2.5
0.518,Layer 1 Down,unworn,1,3,2.5
-0.399,Layer 1 Down,unworn,1,3,2.5
29.3,Layer 1 Down,unworn,1,3,2.5
24.8,Layer 1 Down,unworn,1,3,2.5
19.7,Layer 1 Down,unworn,1,3,2.5
19.4,Layer 1 Down,unworn,1,3,2.5
23.1,Layer 1 Down,unworn,1,3,2.5
17.4,Layer 1 Down,unworn,1,3,2.5
21.8,Layer 1 Down,unworn,1,3,2.5
20.9,Layer 1 Down,unworn,1,3,2.5
21.8,Layer 1 Down,unworn,1,3,2.5
19.9,Layer 1 Down,unworn,1,3,2.5
20.8,Layer 1 Down,unworn,1,3,2.5
17.9,Layer 1 Down,unworn,1,3,2.5
26.4,Layer 1 Down,unworn,1,3,2.5
15.0,Layer 1 Down,unworn,1,3,2.5
22.0,Layer 1 Down,unworn,1,3,2.5
20.0,Layer 1 Down,unworn,1,3,2.5
22.1,Layer 1 Down,unworn,1,3,2.5
24.2,Layer 1 Down,unworn,1,3,2.5
19.9,Layer 1 Down,unworn,1,3,2.5
18.3,Layer 1 Down,unworn,1,3,2.5
16.1,Layer 1 Down,unworn,1,3,2.5
22.8,Layer 1 Down,unworn,1,3,2.5
22.8,Layer 1 Down,unworn,1,3,2.5
19.0,Layer 1 Down,unworn,1,3,2.5
24.7,Layer 1 Down,unworn,1,3,2.5
18.6,Layer 1 Down,unworn,1,3,2.5
20.0,Layer 1 Down,unworn,1,3,2.5
25.9,Layer 1 Down,unworn,1,3,2.5
22.8,Layer 1 Down,unworn,1,3,2.5
17.4,Layer 1 Down,unworn,1,3,2.5
22.0,Layer 1 Down,unworn,1,3,2.5
27.7,Layer 1 Down,unworn,1,3,2.5
0.196,Layer 1 Down,unworn,1,3,2.5
0.646,Layer 1 Down,unworn,1,3,2.5
0.947,Layer 1 Down,unworn,1,3,2.5
0.947,Layer 1 Down,unworn,1,3,2.5
0.0461,Layer 1 Down,unworn,1,3,2.5
0.196,Layer 1 Down,unworn,1,3,2.5
0.496,Layer 1 Down,unworn,1,3,2.5
0.646,Layer 1 Down,unworn,1,3,2.5
0.947,Layer 1 Down,unworn,1,3,2.5
0.947,Layer 1 Down,unworn,1,3,2.5
0.0461,Layer 1 Down,unworn,1,3,2.5
-0.404,Layer 1 Down,unworn,1,3,2.5
24.4,Layer 1 Down,unworn,1,3,2.5
24.5,Layer 1 Down,unworn,1,3,2.5
26.3,Layer 1 Down,unworn,1,3,2.5
21.6,Layer 1 Down,unworn,1,3,2.5
15.1,Layer 1 Down,unworn,1,3,2.5
19.4,Layer 1 Down,unworn,1,3,2.5
23.7,Layer 1 Down,unworn,1,3,2.5
17.0,Layer 1 Down,unworn,1,3,2.5
17.3,Layer 1 Down,unworn,1,3,2.5
18.0,Layer 1 Down,unworn,1,3,2.5
20.3,Layer 1 Down,unworn,1,3,2.5
19.4,Layer 1 Down,unworn,1,3,2.5
21.5,Layer 1 Down,unworn,1,3,2.5
19.3,Layer 1 Down,unworn,1,3,2.5
14.7,Layer 1 Down,unworn,1,3,2.5
23.4,Layer 1 Down,unworn,1,3,2.5
19.4,Layer 1 Down,unworn,1,3,2.5
14.3,Layer 1 Down,unworn,1,3,2.5
24.8,Layer 1 Down,unworn,1,3,2.5
15.7,Layer 1 Down,unworn,1,3,2.5
22.2,Layer 1 Down,unworn,1,3,2.5
20.1,Layer 1 Down,unworn,1,3,2.5
15.9,Layer 1 Down,unworn,1,3,2.5
26.3,Layer 1 Down,unworn,1,3,2.5
16.8,Layer 1 Down,unworn,1,3,2.5
23.9,Layer 1 Down,unworn,1,3,2.5
25.5,Layer 1 Down,unworn,1,3,2.5
16.9,Layer 1 Down,unworn,1,3,2.5
19.5,Layer 1 Down,unworn,1,3,2.5
19.0,Layer 1 Down,unworn,1,3,2.5
22.1,Layer 1 Down,unworn,1,3,2.5
18.9,Layer 1 Down,unworn,1,3,2.5
24.1,Layer 1 Down,unworn,1,3,2.5
16.6,Layer 1 Down,unworn,1,3,2.5
18.0,Layer 1 Down,unworn,1,3,2.5
22.4,Layer 1 Down,unworn,1,3,2.5
17.8,Layer 1 Down,unworn,1,3,2.5
20.4,Layer 1 Down,unworn,1,3,2.5
20.5,Layer 1 Down,unworn,1,3,2.5
26.0,Layer 1 Down,unworn,1,3,2.5
23.5,Layer 1 Down,unworn,1,3,2.5
25.6,Layer 1 Down,unworn,1,3,2.5
17.3,Layer 1 Down,unworn,1,3,2.5
22.5,Layer 1 Down,unworn,1,3,2.5
19.1,Layer 1 Down,unworn,1,3,2.5
17.0,Layer 1 Down,unworn,1,3,2.5
23.6,Layer 1 Down,unworn,1,3,2.5
19.1,Layer 1 Down,unworn,1,3,2.5
19.9,Layer 1 Down,unworn,1,3,2.5
18.5,Layer 1 Down,unworn,1,3,2.5
24.3,Layer 1 Down,unworn,1,3,2.5
21.8,Layer 1 Down,unworn,1,3,2.5
18.8,Layer 1 Down,unworn,1,3,2.5
26.1,Layer 1 Down,unworn,1,3,2.5
26.1,Layer 1 Down,unworn,1,3,2.5
16.5,Layer 1 Down,unworn,1,3,2.5
23.7,Layer 1 Down,unworn,1,3,2.5
23.0,Layer 1 Down,unworn,1,3,2.5
21.5,Layer 1 Down,unworn,1,3,2.5
20.8,Layer 1 Down,unworn,1,3,2.5
16.2,Layer 1 Down,unworn,1,3,2.5
0.947,Layer 1 Down,unworn,1,3,2.5
0.496,Layer 1 Down,unworn,1,3,2.5
0.0462,Layer 1 Down,unworn,1,3,2.5
0.0461,Layer 1 Down,unworn,1,3,2.5
0.0461,Layer 1 Down,unworn,1,3,2.5
0.347,Layer 1 Down,unworn,1,3,2.5
0.0462,Layer 1 Down,unworn,1,3,2.5
0.196,Layer 1 Down,unworn,1,3,2.5
0.947,Layer 1 Down,unworn,1,3,2.5
-0.105,Layer 1 Down,unworn,1,3,2.5
24.2,Layer 1 Down,unworn,1,3,2.5
19.0,Layer 1 Down,unworn,1,3,2.5
24.7,Layer 1 Down,unworn,1,3,2.5
19.5,Layer 1 Down,unworn,1,3,2.5
15.3,Layer 1 Down,unworn,1,3,2.5
27.8,Layer 1 Down,unworn,1,3,2.5
20.1,Layer 1 Down,unworn,1,3,2.5
19.8,Layer 1 Down,unworn,1,3,2.5
26.6,Layer 1 Down,unworn,1,3,2.5
15.6,Layer 1 Down,unworn,1,3,2.5
24.1,Layer 1 Down,unworn,1,3,2.5
12.7,Layer 1 Down,unworn,1,3,2.5
18.3,Layer 1 Down,unworn,1,3,2.5
26.0,Layer 1 Down,unworn,1,3,2.5
15.3,Layer 1 Down,unworn,1,3,2.5
15.2,Layer 1 Down,unworn,1,3,2.5
17.5,Layer 1 Down,unworn,1,3,2.5
19.1,Layer 1 Down,unworn,1,3,2.5
20.2,Layer 1 Down,unworn,1,3,2.5
18.8,Layer 1 Down,unworn,1,3,2.5
22.7,Layer 1 Down,unworn,1,3,2.5
20.0,Layer 1 Down,unworn,1,3,2.5
16.2,Layer 1 Down,unworn,1,3,2.5
23.5,Layer 1 Down,unworn,1,3,2.5
24.6,Layer 1 Down,unworn,1,3,2.5
19.3,Layer 1 Down,unworn,1,3,2.5
24.4,Layer 1 Down,unworn,1,3,2.5
19.8,Layer 1 Down,unworn,1,3,2.5
17.8,Layer 1 Down,unworn,1,3,2.5
24.9,Layer 1 Down,unworn,1,3,2.5
23.0,Layer 1 Down,unworn,1,3,2.5
22.5,Layer 1 Down,unworn,1,3,2.5
17.5,Layer 1 Down,unworn,1,3,2.5
24.1,Layer 1 Down,unworn,1,3,2.5
18.1,Layer 1 Down,unworn,1,3,2.5
16.7,Layer 1 Down,unworn,1,3,2.5
22.8,Layer 1 Down,unworn,1,3,2.5
22.8,Layer 1 Down,unworn,1,3,2.5
24.0,Layer 1 Down,unworn,1,3,2.5
25.5,Layer 1 Down,unworn,1,3,2.5
11.9,Layer 1 Down,unworn,1,3,2.5
24.4,Layer 1 Down,unworn,1,3,2.5
23.2,Layer 1 Down,unworn,1,3,2.5
13.4,Layer 1 Down,unworn,1,3,2.5
25.1,Layer 1 Down,unworn,1,3,2.5
18.5,Layer 1 Down,unworn,1,3,2.5
19.7,Layer 1 Down,unworn,1,3,2.5
26.1,Layer 1 Down,unworn,1,3,2.5
16.6,Layer 1 Down,unworn,1,3,2.5
15.7,Layer 1 Down,unworn,1,3,2.5
19.0,Layer 1 Down,unworn,1,3,2.5
18.8,Layer 1 Down,unworn,1,3,2.5
10.4,Layer 1 Down,unworn,1,3,2.5
21.7,Layer 1 Down,unworn,1,3,2.5
16.9,Layer 1 Down,unworn,1,3,2.5
16.4,Layer 1 Down,unworn,1,3,2.5
16.0,Layer 1 Down,unworn,1,3,2.5
16.2,Layer 1 Down,unworn,1,3,2.5
15.6,Layer 1 Down,unworn,1,3,2.5
18.1,Layer 1 Down,unworn,1,3,2.5
18.6,Layer 1 Down,unworn,1,3,2.5
19.6,Layer 1 Down,unworn,1,3,2.5
22.9,Layer 1 Down,unworn,1,3,2.5
14.9,Layer 1 Down,unworn,1,3,2.5
21.2,Layer 1 Down,unworn,1,3,2.5
25.9,Layer 1 Down,unworn,1,3,2.5
22.5,Layer 1 Down,unworn,1,3,2.5
23.9,Layer 1 Down,unworn,1,3,2.5
25.2,Layer 1 Down,unworn,1,3,2.5
18.5,Layer 1 Down,unworn,1,3,2.5
17.2,Layer 1 Down,unworn,1,3,2.5
23.7,Layer 1 Down,unworn,1,3,2.5
22.9,Layer 1 Down,unworn,1,3,2.5
20.6,Layer 1 Down,unworn,1,3,2.5
25.9,Layer 2 Up,unworn,1,3,2.5
18.1,Layer 2 Up,unworn,1,3,2.5
18.1,Layer 2 Up,unworn,1,3,2.5
17.6,Layer 2 Up,unworn,1,3,2.5
22.6,Layer 2 Up,unworn,1,3,2.5
20.2,Layer 2 Up,unworn,1,3,2.5
21.6,Layer 2 Up,unworn,1,3,2.5
22.0,Layer 2 Up,unworn,1,3,2.5
13.8,Layer 2 Up,unworn,1,3,2.5
18.4,Layer 2 Up,unworn,1,3,2.5
18.9,Layer 2 Up,unworn,1,3,2.5
15.0,Layer 2 Up,unworn,1,3,2.5
18.1,Layer 2 Up,unworn,1,3,2.5
13.4,Layer 2 Up,unworn,1,3,2.5
18.7,Layer 2 Up,unworn,1,3,2.5
17.6,Layer 2 Up,unworn,1,3,2.5
18.1,Layer 2 Up,unworn,1,3,2.5
25.1,Layer 2 Up,unworn,1,3,2.5
27.3,Layer 2 Up,unworn,1,3,2.5
17.8,Layer 2 Up,unworn,1,3,2.5
19.0,Layer 2 Up,unworn,1,3,2.5
25.3,Layer 2 Up,unworn,1,3,2.5
16.8,Layer 2 Up,unworn,1,3,2.5
15.2,Layer 2 Up,unworn,1,3,2.5
19.8,Layer 2 Up,unworn,1,3,2.5
24.0,Layer 2 Up,unworn,1,3,2.5
17.8,Layer 2 Up,unworn,1,3,2.5
21.3,Layer 2 Up,unworn,1,3,2.5
22.5,Layer 2 Up,unworn,1,3,2.5
21.3,Layer 2 Up,unworn,1,3,2.5
21.3,Layer 2 Up,unworn,1,3,2.5
20.8,Layer 2 Up,unworn,1,3,2.5
13.6,Layer 2 Up,unworn,1,3,2.5
19.4,Layer 2 Up,unworn,1,3,2.5
21.7,Layer 2 Up,unworn,1,3,2.5
18.5,Layer 2 Up,unworn,1,3,2.5
27.2,Layer 2 Up,unworn,1,3,2.5
26.2,Layer 2 Up,unworn,1,3,2.5
17.3,Layer 2 Up,unworn,1,3,2.5
16.5,Layer 2 Up,unworn,1,3,2.5
19.1,Layer 2 Up,unworn,1,3,2.5
15.2,Layer 2 Up,unworn,1,3,2.5
22.2,Layer 2 Up,unworn,1,3,2.5
24.4,Layer 2 Up,unworn,1,3,2.5
18.5,Layer 2 Up,unworn,1,3,2.5
22.8,Layer 2 Up,unworn,1,3,2.5
21.0,Layer 2 Up,unworn,1,3,2.5
25.8,Layer 2 Up,unworn,1,3,2.5
24.4,Layer 2 Up,unworn,1,3,2.5
18.6,Layer 2 Up,unworn,1,3,2.5
21.3,Layer 2 Up,unworn,1,3,2.5
22.2,Layer 2 Up,unworn,1,3,2.5
20.3,Layer 2 Up,unworn,1,3,2.5
15.8,Layer 2 Up,unworn,1,3,2.5
26.7,Layer 2 Up,unworn,1,3,2.5
17.7,Layer 2 Up,unworn,1,3,2.5
19.4,Layer 2 Up,unworn,1,3,2.5
24.8,Layer 2 Up,unworn,1,3,2.5
19.0,Layer 2 Up,unworn,1,3,2.5
22.8,Layer 2 Up,unworn,1,3,2.5
20.8,Layer 2 Up,unworn,1,3,2.5
23.4,Layer 2 Up,unworn,1,3,2.5
12.9,Layer 2 Up,unworn,1,3,2.5
16.2,Layer 2 Up,unworn,1,3,2.5
23.3,Layer 2 Up,unworn,1,3,2.5
22.7,Layer 2 Up,unworn,1,3,2.5
20.3,Layer 2 Up,unworn,1,3,2.5
25.1,Layer 2 Up,unworn,1,3,2.5
22.9,Layer 2 Up,unworn,1,3,2.5
12.9,Layer 2 Up,unworn,1,3,2.5
22.2,Layer 2 Up,unworn,1,3,2.5
13.6,Layer 2 Up,unworn,1,3,2.5
18.3,Layer 2 Up,unworn,1,3,2.5
25.7,Layer 2 Up,unworn,1,3,2.5
16.0,Layer 2 Up,unworn,1,3,2.5
17.0,Layer 2 Up,unworn,1,3,2.5
19.8,Layer 2 Up,unworn,1,3,2.5
18.8,Layer 2 Up,unworn,1,3,2.5
20.9,Layer 2 Up,unworn,1,3,2.5
18.3,Layer 2 Up,unworn,1,3,2.5
23.6,Layer 2 Up,unworn,1,3,2.5
15.9,Layer 2 Up,unworn,1,3,2.5
22.0,Layer 2 Up,unworn,1,3,2.5
16.4,Layer 2 Up,unworn,1,3,2.5
18.1,Layer 2 Up,unworn,1,3,2.5
20.6,Layer 2 Up,unworn,1,3,2.5
21.0,Layer 2 Up,unworn,1,3,2.5
25.4,Layer 2 Up,unworn,1,3,2.5
20.6,Layer 2 Up,unworn,1,3,2.5
22.1,Layer 2 Up,unworn,1,3,2.5
17.9,Layer 2 Up,unworn,1,3,2.5
20.1,Layer 2 Up,unworn,1,3,2.5
19.1,Layer 2 Up,unworn,1,3,2.5
25.1,Layer 2 Up,unworn,1,3,2.5
23.3,Layer 2 Up,unworn,1,3,2.5
23.3,Layer 2 Up,unworn,1,3,2.5
21.1,Layer 2 Up,unworn,1,3,2.5
15.5,Layer 2 Up,unworn,1,3,2.5
21.9,Layer 2 Up,unworn,1,3,2.5
21.0,Layer 2 Up,unworn,1,3,2.5
15.4,Layer 2 Up,unworn,1,3,2.5
15.6,Layer 2 Up,unworn,1,3,2.5
24.1,Layer 2 Up,unworn,1,3,2.5
18.5,Layer 2 Up,unworn,1,3,2.5
11.9,Layer 2 Up,unworn,1,3,2.5
26.3,Layer 2 Up,unworn,1,3,2.5
22.4,Layer 2 Up,unworn,1,3,2.5
13.9,Layer 2 Up,unworn,1,3,2.5
21.4,Layer 2 Up,unworn,1,3,2.5
21.7,Layer 2 Up,unworn,1,3,2.5
19.9,Layer 2 Up,unworn,1,3,2.5
